PERIOD_START_TIME,PLMN name,RNC name,RRC Connection setup SR,Call Setup Success Rate CS -Speech,HSDPA Accessibility,HSUPA Accessibility,CSSR for PS,Soft Handover Success Rate CS and PS,IRAT HO Success Rate CS,3G Traffic CS - Speech,PS HSUPA Volume,PS HSDPA Volume,AVG Nbr of HSDPA Users,AVG Nbr of HSUPA Users,CS drop rate,PS Global RAB Drop Rate,PS HSDPA RAB Drop Rate,PS HSUPA RAB Drop Rate,PS HSDPA Throughput,PS HSUPA Throughput,PS R99 Setup SR User,PS R99 Drop Rate User,PS R99 DL Data Volume,PS R99 UL Data Volume,Packet Loss,RRC Drop rate
2/19/2018 0:00,PLMN,N103,100,99.8729,99.9161,99.9283,99.4545,99.9824,100,667.1181,92.9611,603.9886,1390.3,1721.2,0.2517,0.5385,0.3266,0.3096,4661.1775,169.6501,100,2.7501,0.1163,0.0349,0.0845,0.33
2/19/2018 0:00,PLMN,N104,100,99.6471,99.7764,99.82,99.127,99.9697,98.532,194.0342,104.5039,683.1309,5888.5,6912.1,0.6451,0.647,0.4457,0.3939,5000.7179,530.652,100,2.4335,0.0599,0.0281,4.3233,0.36
2/19/2018 0:00,PLMN,N105,99.9991,99.8025,99.8189,99.8521,99.2212,99.9588,99.6942,201.043,104.6037,673.9028,3684.1,4300.5,0.4497,0.8542,0.4859,0.4554,4707.8129,346.3094,100,3.1841,0.0449,0.0235,1.341,0.36
2/19/2018 0:00,PLMN,N107,100,99.8809,99.8448,99.8775,99.3783,99.9714,98.8235,435.1576,89.6589,534.9949,1712.8,2109.5,0.3785,0.6978,0.3608,0.3304,4343.2646,215.3409,100,2.6392,0.0591,0.0249,0.1059,0.39
2/19/2018 0:00,PLMN,N108,100,99.703,99.7871,99.8365,99.365,99.9709,98.6772,445.0061,120.4599,818.3162,4306.4,5260.9,0.5207,0.8494,0.4704,0.4201,4486.1688,369.6582,100,3.4025,0.1084,0.0464,6.413,0.42
2/19/2018 0:00,PLMN,N109,99.9677,99.7776,99.7852,99.8138,99.0993,99.9672,92.3077,327.8605,130.9294,923.2224,5603.2,6707.7,0.3221,1.1145,0.2756,0.2934,4504.6573,439.096,100,3.0268,0.0976,0.0479,1.5686,0.49
2/19/2018 0:00,PLMN,N110,100,99.943,99.7956,99.8181,99.3387,99.958,98.6014,330.8251,118.7176,792.1964,3508.4,4254.8,0.4619,0.859,0.3605,0.3365,4980.4627,377.3446,100,1.5625,0.2675,0.2148,3.0778,0.41
2/19/2018 0:00,PLMN,N112,99.9874,99.8214,99.819,99.8506,99.4277,99.9685,98,234.5317,98.2028,658.187,4285.8,5208.8,0.3685,0.6919,0.3268,0.3112,4509.0671,373.2308,100,2.7621,0.0528,0.0324,1.0351,0.43
2/19/2018 0:00,PLMN,N114,99.9462,99.6945,99.7758,99.8289,99.1394,99.9738,100,376.3227,107.939,686.8335,5051,6056.6,0.2906,0.8474,0.5341,0.4787,4282.0535,361.316,100,2.62,0.036,0.0186,3.7072,0.38
2/19/2018 0:00,PLMN,N115,100,99.9232,99.8894,99.9104,99.5347,99.9834,96.1783,669.4453,104.1046,677.4578,1538.3,1881.4,0.2583,0.4086,0.3629,0.3306,4712.368,230.1041,100,2.7364,0.1399,0.0335,1.3177,0.21
2/19/2018 0:00,PLMN,N116,99.9993,99.5077,99.7272,99.7878,99.0917,99.9402,97.6,298.2582,103.1098,693.8112,3058.1,3683.9,0.7028,0.8542,0.4183,0.3843,4554.7655,320.0585,100,2.9301,0.085,0.0362,0.9952,0.42
2/19/2018 0:00,PLMN,N117,100,99.8929,99.8774,99.9002,99.4343,99.966,100,418.3557,96.8922,580.7483,2075.5,2557.2,0.5009,0.6401,0.3225,0.3091,4536.7461,254.3252,100,3.5154,0.0766,0.0236,0.3182,0.32
2/19/2018 0:00,PLMN,N118,99.9973,99.797,99.7873,99.808,99.4145,99.9509,94.958,457.283,150.4341,975.6184,4127.4,4986.8,0.4548,0.7188,0.4497,0.4012,4121.0316,307.7379,100,2.1777,0.0959,0.0421,0.746,0.33
2/19/2018 0:00,PLMN,N119,99.9871,99.8197,99.8399,99.8704,99.2911,99.9722,97.4265,448.1527,133.4522,898.5947,4844,5794.6,0.4195,0.6915,0.3863,0.3511,4450.071,376.5873,100,2.4744,0.1153,0.0507,6.0534,0.32
2/19/2018 0:00,PLMN,N120,100,99.7869,99.8661,99.8947,99.2429,99.9842,99.115,458.4654,133.0224,858.119,3908.2,4748,0.4598,0.5539,0.3319,0.2996,4678.8251,403.1511,100,2.5733,0.0928,0.0375,1.2762,0.31
2/19/2018 0:00,PLMN,N121,100,99.9022,99.8633,99.8855,99.4669,99.9706,98.2558,562.0418,111.8169,714.4167,1918.7,2336.4,0.4777,0.6446,0.4343,0.4083,4722.5788,250.4584,100,6.4736,0.0699,0.0329,1.6764,0.32
2/19/2018 0:00,PLMN,N122,100,99.8503,99.8996,99.9134,99.2519,99.9782,96.1538,534.4348,89.7724,607.7076,2182.8,2713.5,0.3626,0.4041,0.3399,0.3161,4600.0835,229.8888,100,2.3994,0.0704,0.0249,0.2835,0.37
2/19/2018 0:00,PLMN,N123,99.9808,99.8346,99.8259,99.8627,99.0231,99.9712,97.9798,403.5396,115.6166,780.6641,4248.2,5138,0.5106,0.6082,0.4205,0.3829,4528.3401,343.0141,100,2.8986,0.1156,0.0406,4.4855,0.37
2/19/2018 0:00,PLMN,N124,99.998,99.7466,99.7388,99.7733,99.1838,99.9257,97.7679,634.3363,191.881,1164.7178,4710.3,5650.3,0.477,0.9846,0.4577,0.4455,4236.0542,369.8211,100,1.5481,0.3988,0.3569,1.5481,0.47
2/19/2018 0:00,PLMN,N357,100,100,99.756,99.7794,99.5798,99.938,100,3.038,7.1774,50.5194,2679.6,2994.7,0.9524,5.1865,0.3949,0.4293,7521.0435,385.5509,100,0.5488,0.0323,0.0145,,2.43
2/19/2018 0:00,PLMN,N403,99.9974,99.8928,99.8729,99.8873,99.21,99.9816,100,226.392,133.8563,957.1867,4894.6,5786.4,0.3081,1.1316,0.2792,0.2861,4483.0115,383.6154,100,2.1277,0.1254,0.0528,1.4527,0.59
2/19/2018 0:00,PLMN,N406,99.9474,99.7488,99.7074,99.7932,99.0589,99.984,98.1608,261.7682,146.0976,950.832,6768.6,7562.9,0.3797,2.1172,0.3934,0.3848,5302.8821,430.879,,2.3856,0.0792,0.0337,6.3726,0.74
2/19/2018 0:00,PLMN,N407,99.9908,99.7271,99.7714,99.8038,99.0215,99.9696,91.5842,882.6601,238.0207,1628.8983,6121.1,7187.4,0.3066,1.5675,0.5506,0.5738,4252.0102,378.9984,100,2.3459,0.1629,0.0858,6.6714,0.79
2/19/2018 0:00,PLMN,N408,99.9971,99.8374,99.84,99.8612,99.1991,99.972,99.0683,1306.9163,209.4336,1495.2216,4566.7,5499.6,0.2744,1.0883,0.4013,0.42,4594.3005,338.4151,100,2.5004,0.1566,0.0889,3.4788,0.44
2/19/2018 0:00,PLMN,N601,99.9596,99.2415,99.7946,99.8104,98.9332,99.8002,99.1394,96.4386,129.0187,891.9317,4920,5530.4,0.6446,1.8911,0.3827,0.3919,5423.7249,412.9919,100,3.796,0.2097,0.0329,3.7165,0.78
2/19/2018 0:00,PLMN,N602,99.9943,99.8353,99.8574,99.8738,99.1693,99.9791,97.2222,395.6182,218.7455,1718.1449,4929.5,5859,0.3542,1.0878,0.2675,0.2861,4719.8904,364.3507,100,1.9696,0.1305,0.0768,2.8717,0.47
2/19/2018 0:00,PLMN,N604,100,97.4359,99.7615,99.7368,99.5873,99.9754,,1.5622,2.4912,14.6243,8176.1,8607.9,0,2.0216,0.4084,0.452,5752.4138,639.9571,,5.4545,0.0008,0.0003,0,1.45
2/19/2018 1:00,PLMN,N103,100,99.8947,99.9212,99.9346,99.734,99.9866,95.4545,483.9142,71.9877,506.6085,1102.5,1352.2,0.2312,0.6167,0.2824,0.2673,4956.7097,147.1928,100,4.0091,0.1264,0.0221,0.0524,0.33
2/19/2018 1:00,PLMN,N104,100,99.8653,99.8462,99.8713,99.2431,99.9745,98.72,130.429,89.7485,626.8388,4785.8,5618.3,0.3544,0.7763,0.3677,0.3394,5169.9755,467.0697,100,2.2432,0.0448,0.0199,1.7158,0.35
2/19/2018 1:00,PLMN,N105,100,99.8528,99.8595,99.8818,99.0844,99.9539,99.4413,124.3584,91.8025,601.2657,2943.7,3438.4,0.2505,0.9457,0.4185,0.4017,4878.6359,326.9416,100,3.1796,0.0292,0.0149,0.4817,0.32
2/19/2018 1:00,PLMN,N107,100,99.7925,99.8953,99.9135,99.4224,99.977,97.8261,295.2242,65.9618,427.9692,1306.4,1612.5,0.4327,0.6966,0.3594,0.3343,4579.0612,174.7804,100,3.8547,0.0369,0.0137,0.075,0.28
2/19/2018 1:00,PLMN,N108,99.9734,99.8893,99.8482,99.8783,99.1772,99.9414,97.6636,309.9366,110.8475,768.3448,3607.6,4359.2,0.5588,0.7986,0.4034,0.3663,4706.8371,350.7001,100,3.3188,0.0986,0.0337,2.9571,0.34
2/19/2018 1:00,PLMN,N109,100,99.9078,99.8428,99.861,99.1866,99.9582,100,191.113,108.7553,826.095,4574.7,5445.8,0.2279,1.2083,0.2594,0.2767,4696.5474,371.6562,100,2.1216,0.0727,0.0372,1.2479,0.42
2/19/2018 1:00,PLMN,N110,100,99.7968,99.8341,99.8336,99.3935,99.9519,92.7126,256.8036,97.0251,651.7301,2692.4,3248,0.3913,0.8859,0.3155,0.3009,5215.0178,327.0585,100,1.4715,0.2088,0.1577,0.4185,0.36
2/19/2018 1:00,PLMN,N112,99.8163,99.6151,97.6471,99.2326,98.5161,99.951,100,179.8378,2.4367,15.7733,3333.5,4029.7,5.6234,5.5717,0.4215,0.3823,4292.4858,10.7357,100,2.153,0.054,0.0334,0.1085,2.35
2/19/2018 1:00,PLMN,N114,99.9093,99.6709,99.779,99.7965,99.0793,99.9537,88.8889,344.1915,0,0,4167.4,5002.9,5.6799,6.8508,0.5866,0.5248,,0,100,2.6871,0.033,0.0095,,2.56
2/19/2018 1:00,PLMN,N115,100,99.7562,99.9053,99.9159,99.5661,99.973,98.5816,581.3646,46.8365,290.9451,1190.1,1449.3,2.9543,1.7352,0.456,0.4218,4969.1505,119.0675,100,3.5769,0.0536,0.0226,0.6848,0.81
2/19/2018 1:00,PLMN,N116,100,99.7047,99.7609,99.8037,99.1947,99.8964,96.2687,199.3159,86.0788,596.2665,2460.7,2949.6,0.9273,0.8551,0.3849,0.3636,4649.6187,285.9312,100,3.6134,0.0702,0.0281,0.3839,0.4
2/19/2018 1:00,PLMN,N117,99.9955,99.8278,99.8937,99.9116,99.421,99.9833,89.4737,261.3708,84.7303,510.1577,1670.6,2044.9,0.7143,0.8272,0.295,0.2799,4768.6505,240.6116,100,2.4557,0.0519,0.019,0.064,0.34
